
neutral,15:46:48, 25/11/2021
neutral,15:46:48, 25/11/2021
neutral,15:46:48, 25/11/2021
neutral,15:46:48, 25/11/2021
neutral,15:46:49, 25/11/2021
neutral,15:46:49, 25/11/2021
neutral,15:46:49, 25/11/2021
neutral,15:46:49, 25/11/2021
neutral,15:46:49, 25/11/2021
neutral,15:46:49, 25/11/2021
angry,15:46:49, 25/11/2021
neutral,15:46:50, 25/11/2021
neutral,15:46:50, 25/11/2021
neutral,15:46:50, 25/11/2021
neutral,15:46:50, 25/11/2021
neutral,15:46:50, 25/11/2021
neutral,15:46:50, 25/11/2021
neutral,15:46:51, 25/11/2021
neutral,15:46:51, 25/11/2021
neutral,15:46:51, 25/11/2021
neutral,15:46:51, 25/11/2021
neutral,15:46:51, 25/11/2021
neutral,15:46:51, 25/11/2021
neutral,15:46:52, 25/11/2021
neutral,15:46:52, 25/11/2021
angry,15:46:52, 25/11/2021
neutral,15:46:52, 25/11/2021
angry,15:46:52, 25/11/2021
angry,15:46:52, 25/11/2021
angry,15:46:52, 25/11/2021
angry,15:46:53, 25/11/2021
angry,15:46:53, 25/11/2021
angry,15:46:53, 25/11/2021
neutral,15:46:53, 25/11/2021
neutral,15:46:53, 25/11/2021
neutral,15:46:53, 25/11/2021
neutral,15:46:54, 25/11/2021
neutral,15:46:54, 25/11/2021
sad,15:46:54, 25/11/2021
happy,15:46:54, 25/11/2021
happy,15:46:54, 25/11/2021
happy,15:46:55, 25/11/2021
happy,15:46:55, 25/11/2021
happy,15:46:55, 25/11/2021
happy,15:46:55, 25/11/2021
neutral,15:46:55, 25/11/2021
happy,15:46:55, 25/11/2021
happy,15:46:56, 25/11/2021
happy,15:46:56, 25/11/2021
